Episode,Total Reward,Episode Loss,Epsilon,Avg Q Value
1,-21.0,0.003087132727588327,0.09994334856146549,0.08149885
2,-21.0,0.002543106435270434,0.09994334856146549,0.09931068
3,-21.0,0.0015711285798939638,0.09994334856146549,0.087756164
4,-21.0,0.001138152450416002,0.09994334856146549,0.09429347
5,-20.0,0.0008967751045300134,0.09994334856146549,0.09788734
6,-20.0,0.0007459899212759702,0.09994334856146549,0.09788528
7,-21.0,0.0006467596103585526,0.09994334856146549,0.101765096
8,-21.0,0.0005741999998920297,0.09994334856146549,0.09715047
9,-21.0,0.0005115732182480781,0.09994334856146549,0.09654202
10,-20.0,0.0004696872335169553,0.09994334856146549,0.093785346
