Episode,Total Reward,Episode Loss,Epsilon,Avg Q Value
1,440.0,0.4186540936072537,0.09994334856146549,0.041034132
2,220.0,0.5431250085381313,0.09994334856146549,-0.0038605775
3,176.0,0.5234472154111108,0.09994334856146549,-0.071186304
4,88.0,0.47855314452196956,0.09994334856146549,-0.08011142
5,176.0,0.4508805381240189,0.09994334856146549,-0.06991076
6,308.0,0.42501526818676344,0.09994334856146549,-0.10666477
7,352.0,0.40587141541288085,0.09994334856146549,-0.09414451
8,352.0,0.3941786935581747,0.09994334856146549,-0.10370133
9,660.0,0.3861482943194966,0.09994334856146549,-0.13558401
10,352.0,0.38426522802905877,0.09994334856146549,-0.13702315
