Episode,Total Reward,Episode Loss,Epsilon,Avg Q Value
1,70.0,0.22614667312957618,0.09994334856146549,0.06669735
2,105.0,0.192745151137665,0.09994334856146549,0.018691428
3,85.0,0.2207613840763425,0.09994334856146549,0.07984418
4,155.0,0.23307472068416185,0.09994334856146549,0.04026937
5,260.0,0.23699420061012472,0.09994334856146549,0.014921654
6,110.0,0.22605322560768568,0.09994334856146549,0.058633488
7,145.0,0.2216527095841403,0.09994334856146549,0.038655933
8,440.0,0.21437324917869827,0.09994334856146549,0.18522982
9,210.0,0.2189089964525419,0.09994334856146549,0.12232339
10,30.0,0.2220204165517884,0.09994334856146549,0.08976703
