Episode,Total Reward,Episode Loss,Epsilon,Avg Q Value
1,120.0,0.04895032453408951,0.09994334856146549,0.08335791
2,120.0,0.08346373011558754,0.09994334856146549,0.09719891
3,60.0,0.07836458124313737,0.09994334856146549,0.04520134
4,80.0,0.07227710399440941,0.09994334856146549,0.045847192
5,40.0,0.06669129413957334,0.09994334856146549,0.039067164
6,0.0,0.06099704246629368,0.09994334856146549,0.04469837
7,20.0,0.055774959474407804,0.09994334856146549,0.029833173
8,0.0,0.05152625869959593,0.09994334856146549,0.05599342
9,0.0,0.048176238366158294,0.09994334856146549,0.038391966
10,20.0,0.04440991012927364,0.09994334856146549,0.037375785
